南瓜子|红宝书必考词U12带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
embrace,v./n.,拥抱；欣然接受,观点、政策态度描述，如embrace new ideas（接受新观点）、embrace challenges（迎接挑战）,She embraced the challenge with confidence.,embrace挑战，需要你brave（勇敢的）
embed,v.,嵌入；植入,科技、文化类文章，如embed technology（嵌入技术）、embed in culture（融入文化）,The reporter was embedded with the troops.,em（进入）+bed（床），嵌入床里，联想嵌入、使融入，比如钉子嵌入木头像进了床
embody,v.,体现；具体化,思想、精神、理论相关描述，如embody values（体现价值观）、embody principles（包含原则）,This statue embodies strength and hope.,em（使）+body（身体），使思想进入身体即体现，比如美德体现在行为中
embryo,n.,胚胎,生物、医学、发展类文章，如embryo research（胚胎研究）、in the embryo（在萌芽阶段）,The embryo developed rapidly.,bryo（生长），初始生长的状态就是胚胎
elicit,v.,引出；诱发,心理、调查类文章，如elicit responses（引出反应）、elicit information（诱出信息）,His joke elicited laughter.,e（出）+licit（合法的），引出合法的信息，联想诱出、引出，比如通过提问引出真相
elite,n./adj.,精英；精英的,社会、教育类文章，如the elite class（精英阶层）、elite universities（精英大学）,Only the elite were invited.,精英是e（突出）+lite（光），像发光的人，在人群中突出
elsewhere,adv.,在别处；去别处,地点、场景转换描述，如look elsewhere（看向别处）、move elsewhere（搬到别处）,She went elsewhere for treatment.,else（其他）+where（地方），其他地方，直接拆分记忆
thirst,n.,渴望；口渴,情感、需求表达，如thirst for knowledge（渴望知识）、thirst for success（渴望成功）,He thirsts for adventure.,渴的时候会thirst，记渴望像口渴一样强烈，比如渴望知识像渴了想喝水
thorough,adj.,彻底的；详尽的,过程、研究描述，如thorough research（彻底的研究）、thorough analysis（全面分析）,She gave the room a thorough cleaning.,through（穿过）+out（完全），完全穿过就是彻底的，比如彻底检查就是从头到尾都查到
though,conj./adv.,虽然；不过,"逻辑转折，用于句首或句末表让步，如Though difficult（尽管困难）、It's hard work, though（不过这是辛苦活）","He failed, though he tried hard.",和through对比，少个r，表虽然，转折时用，比如虽然（though）难，但要做
thought,n.,思想；想法,观点、思维描述，如original thought（原创思想）、deep thought（深入思考）,His thoughts were interrupted.,think（想）名词形式，思考的结果就是想法、思想
thoughtful,adj.,体贴的；深思的,人物性格、行为描述，如a thoughtful person（体贴的人）、thoughtful consideration（深思熟虑）,She gave a thoughtful reply.,thought（思考）+ful（充满），充满思考的即深思的，对人用心就是体贴的
threat,n.,威胁；危险,环境、安全、国际关系类文章，如environmental threat（环境威胁）、security threat（安全威胁）,They face a threat from climate change.,threat像treat（对待）变了个字母，威胁是不好的对待，比如威胁他人
threaten,v.,威胁；恐吓,同threat，用于描述威胁的动作，如threaten the environment（威胁环境）、threaten to do（扬言要做）,He threatened to quit.,threat（威胁）+en（使），使产生威胁即威胁、恐吓，比如乌云预示暴雨
update,v.,更新；升级,科技、信息类文章，如update data（更新数据）、software update（软件更新）,The system was updated yesterday.,up（向上）+date（日期），日期向上更动即更新，比如更新数据
upgrade,v.,升级；提升,科技、设备、服务描述，如upgrade technology（升级技术）、system upgrade（系统升级）,They upgraded their phones.,up（向上）+grade（等级），等级向上即升级，比如升级系统
uphold,v.,支持；维护,法律、原则类文章，如uphold justice（维护正义）、uphold principles（坚持原则）,The court upheld the decision.,up（向上）+hold（持），向上持住即维护、支持，比如维护正义
upset,v.,使心烦；打乱,情绪、计划描述，如upset the plan（打乱计划）、feel upset（感到心烦）,She was upset by the news.,up（向上）+set（放置），放得不正就打乱、心烦，比如计划被打乱很心烦
up-to-date,adj.,最新的；现代的,信息、技术状态描述，如up-to-date information（最新信息）、up-to-date equipment（现代化设备）,The data is up-to-date.,直到（up-to）今天（date），即最新的，比如最新资讯
ventilate,v.,通风；表达（情绪）,环境、讨论类文章，如ventilate a room（给房间通风）、ventilate opinions（发表观点）,He needed to ventilate his anger.,vent（通风口）+ilate，通过通风口透气即通风，也指公开表达观点
venture,n./v.,冒险；风险企业,商业、行动描述，如venture into business（涉足商界）、a joint venture（合资企业）,He ventured into unknown territory.,vent（冒险）+ure，冒险的行为即冒险、企业，比如冒险创业
widespread,adj.,广泛的；普遍的,现象、影响描述，如widespread concern（广泛关注）、widespread influence（普遍影响）,The disease is widespread.,wide（广泛）+spread（传播），传播得广泛即普遍的，比如广泛关注
win,v./n.,赢得；胜利,竞争、成就描述，如win a prize（获奖）、win the game（赢得比赛）,She won the prize.,赢的时候会win，记竞争中获胜，比如赢得比赛
wit,n.,智慧；风趣,人物特质、语言描述，如quick wit（急智）、a man of wit（有智慧的人）,He is known for his wit.,wit像wise（智慧）的简写，智慧、风趣，比如急智就是quick wit
withdraw,v.,撤退；取款；退出,行动、资金、立场描述，如withdraw money（取款）、withdraw from the competition（退出比赛）,He withdrew $100 from the bank.,with（向后）+draw（拉），向后拉即撤回、撤离，比如撤军、取款
witness,n./v.,目击者；见证,事件、历史描述，如witness an accident（目击事故）、witness great changes（见证巨大变化）,I witnessed the accident.,wit（看见）+ness（名词），看见的人即目击者，也指见证事件
inaugurate,v.,正式开始；为…举行就职典礼,政治、项目描述，如inaugurate a new president（为新总统举行就职典礼）、inaugurate a project（启动项目）,The gallery was inaugurated last year.,in（进入）+augur（预兆）+ate，进入新预兆即开创、就职，比如新总统就职
incentive,n.,激励；动机,经济、管理类文章，如financial incentive（经济激励）、incentive mechanism（激励机制）,Incentives motivate employees.,in（向内）+cent（中心）+ive，内心的中心动力即激励，比如奖金是激励
incidence,n.,发生率,医学、社会现象类文章，如incidence of disease（发病率）、high incidence（高发生率）,Crime incidence is declining.,in（在）+cid（发生）+ence，发生的频率即发生率，比如发病率
incident,n.,事件（尤指不寻常/不愉快的）,新闻、事件描述，如traffic incident（交通事故）、political incident（政治事件）,The incident caused panic.,in（在）+cid（落下）+ent，落下的事即事件，比如突发事故
incidentally,adv.,顺便提一句；偶然地,"用于补充说明，如Incidentally, I saw your brother yesterday（顺便说一下，我昨天看到你弟弟了）","Incidentally, I met her yesterday.",incident（事件）+ally（副词），关于事件顺带说即顺便说，比如顺带提一句
incline,v.,倾向于；倾斜,观点、态度描述，如incline to agree（倾向于同意）、a steep incline（陡峭的斜坡）,He is inclined to agree.,in（向内）+cline（倾斜），向内倾斜即倾向于，比如倾向于同意
academic,adj.,学术的；学院的,教育、学术领域，如academic research（学术研究）、academic performance（学业成绩）,She has a strong academic background.,academy（学院）+ic（形容词），学院的即学术的，比如学术研究
academy,n.,学院；研究院,教育机构描述，如research academy（研究院）、military academy（军事学院）,He was trained at a military academy.,学院是学术（academic）的场所，比如研究院
accelerate,v.,加速；促进,科技、经济类文章，如accelerate economic growth（促进经济增长）、accelerate the process（加速进程）,The car accelerated suddenly.,ac（加强）+celer（快）+ate，使更快即加速、促进，比如加速发展
accept,v.,接受；同意,态度、行为描述，如accept an invitation（接受邀请）、accept the fact（接受事实）,She accepted the challenge.,ac（加强）+cept（拿），乐意拿取即接受，比如接受邀请
acceptance,n.,接受；接纳,同accept，名词形式，如general acceptance（普遍认可）、acceptance of responsibility（承担责任）,His ideas gained acceptance.,accept（接受）+ance（名词），接受的行为或状态，比如获得认可
access,n./v.,进入；获取,科技、信息类文章，如access to information（获取信息）、easy access（便捷进入）,Students have access to libraries.,ac（加强）+cess（走），能走进去即进入、使用权，比如获取信息
accessory,n./adj.,配件；装饰品；附属的,物品、法律描述，如car accessory（汽车配件）、accessory to a crime（从犯）,She wore stylish accessories.,access（接近）+ory，接近主物的东西即配件，接近犯罪就是从犯
begin,v.,开始,动作、过程描述，如begin to work（开始工作）、begin with（以……开始）,Let’s begin now.,开始的基础词，记着手做某事，比如开始工作
beginning,n.,开始；起点,时间、过程描述，如at the beginning（在开始时）、the beginning of a new era（新时代的开端）,"From the beginning, he was honest.",begin（开始）+ning（名词），开始的阶段即开端，比如故事的开端
behalf,n.,代表；利益,固定搭配，如on behalf of（代表）、in behalf of（为了……的利益）,I’m speaking on his behalf.,behalf常和on搭配，on behalf of（代表），记代表某人的利益
behave,v.,表现；行为得体,人物行为、事物状态描述，如behave well（表现好）、how a machine behaves（机器的运转情况）,The kids behaved well today., behave：be（使）+have（有），使自身有行为即表现，比如表现良好
behaviour,n.,行为；举止,同behave，名词形式，如social behaviour（社会行为）、animal behaviour（动物行为）,Her behavior shocked everyone.,behave（表现）+iour（名词），行为举止，比如社会行为
belief,n.,信仰；信念,观点、思想描述，如religious belief（宗教信仰）、firm belief（坚定的信念）,He acted on his beliefs.,believe（相信）去ve加f，相信的东西即信仰、信念
believe,v.,相信,观点表达，如believe in oneself（相信自己）、It is believed that（人们认为）,I believe you can do it.,可以拆成be（使）+lieve（信任），联想使内心产生信任就是相信
belong,v.,属于,归属关系描述，如belong to（属于）、belong in a group（属于某个群体）,This book belongs to me.,be（使）+long（长久），使长久归于某处即属于，比如属于某个团队
beneficial,adj.,有益的；有帮助的,事物影响描述，如beneficial to health（对健康有益）、beneficial effect（有益效果）,Reading is beneficial to children.,benefit（利益）+ial（形容词），有利益的即有益的，比如有益健康
benefit,n./v.,好处；受益,同beneficial，如mutual benefit（互利）、benefit from（从……受益）,Everyone benefits from education.,可以拆成bene（好）+fit（做），联想做好事能带来益处，比如从帮助别人中受益（benefit from helping others）
benevolent,adj.,仁慈的；慈善的,人物性格、行为描述，如a benevolent person（仁慈的人）、benevolent organization（慈善组织）,He gave a benevolent smile.,bene（好）+volent（意愿），好意的即仁慈的，比如慈善组织
benign,adj.,良性的；温和的,医学、事物性质描述，如benign tumor（良性肿瘤）、benign climate（温和的气候）,She has a benign personality.,bene（好）+ign（出生），生来向好即良性的、温和的，比如良性肿瘤
challenge,n./v.,挑战；质疑,各领域中面临的困难或质疑，如face a challenge（面临挑战）、challenge authority（质疑权威）,He challenged the idea.,可以拆成chal（看作call，呼唤）+lenge（看作length，长度），联想呼唤你去跨越一段长度的困难，就是挑战
chance,n./v.,机会；偶然；碰巧,机遇、概率描述，如take a chance（抓住机会）、by chance（偶然）,Give peace a chance.,机会像change（变化）少个g，变化中藏着机会，比如偶然的机会
change,v./n.,改变；变化,事物状态、过程描述，如social change（社会变革）、change one's mind（改变主意）,Nothing will change.,change字母调换像chance，变化就是事物的改变，比如改变想法
channel,n.,渠道；路线,信息、资源传递描述，如communication channel（沟通渠道）、channel funds（输送资金）,They channeled funds into research.,channel：可以拆成chann（看作canal，运河）+el（小），联想像小运河一样输送东西的通道，比如频道（channel）就是输送电视信号的通道，渠道则是输送信息或资源的路径
character,n.,性格；角色；字符,人物、文学、语言领域，如good character（良好品格）、main character（主角）,This font uses bold characters.,character：可以拆成char（看作carrier，承载者）+acter（特性），联想一个人承载的各种特性就是性格、品质
characterise,v.,描述…的特征,事物特征描述，如characterised by simplicity（以简洁为特征）,She is characterised by her kindness.,character（特征）+ise（使），使具有特征即以……为特征，比如夏天以炎热为特征
characteristic,n./adj.,特征；典型的,同characterise，如characteristic feature（典型特征）、be characteristic of（是……的特征）,That’s characteristic of him.,character（特征）+istic（形容词），特有的特征，比如鸟会飞是特征
defend,v.,保卫；辩护,法律、安全领域，如defend oneself（自我辩护）、defend national security（保卫国家安全）,He defended his decision strongly.,de（加强）+fend（保护），加强保护即保卫、辩护，比如自我辩护
define,v.,定义；阐明,概念、范围描述，如define a term（给术语下定义）、define the scope（界定范围）,She defined her goals clearly.,de（加强）+fine（界限），加强界限即定义、界定，比如界定范围
definite,adj.,明确的；肯定的,态度、信息描述，如definite answer（明确的答案）、definite plan（确定的计划）,There’s a definite need for change.,define（定义）+ite（形容词），能被定义的即明确的，比如明确的答案
definition,n.,定义；清晰度,概念、语言描述，如clear definition（清晰的定义）、high definition（高清晰度）,This TV has high definition.,define（定义）+ition（名词），定义的行为或结果，比如清晰的定义
defy,v.,反抗；违抗,反抗或难以做到的情况，如defy authority（违抗权威）、defy description（难以描述）,She defied the odds and won.,de（否定）+fy（做），否定着做即违抗、难以……，比如难以描述
degree,n.,程度；学位,程度、教育领域，如to some degree（在某种程度上）、bachelor's degree（学士学位）,He holds a master’s degree.,程度像grade（等级），程度是等级的深化，比如学位、度数
delay,v./n.,推迟；耽搁,时间安排、进程描述，如cause a delay（造成延误）、delay doing sth.（推迟做某事）,The train was delayed.,de（向下）+lay（放置），放下不做即推迟、延误，比如延误航班
deliberate,adj./v.,故意的；深思熟虑的；仔细考虑,行为、思考描述，如deliberate action（故意的行为）、deliberate over（仔细考虑）,She deliberated before replying.,de（加强）+liber（自由）+ate，自由思考后做的即深思熟虑的，故意为之
delicate,adj.,精致的；脆弱的；微妙的,物品、关系、局势描述，如delicate balance（微妙的平衡）、delicate porcelain（易碎的瓷器）,Handle the vase—it’s delicate.,delicate像delicious（美味），精致的东西像美味一样需要用心，比如易碎的瓷器
deliver,v.,递送；发表；履行,物品传递、言语表达等，如deliver a speech（发表演讲）、deliver goods（递送货物）,He delivered the package on time.,de（加强）+liver（释放），加强释放即递送、发表，比如发表演讲
delivery,n.,递送；分娩；演讲,同deliver，如express delivery（快递）、safe delivery（安全分娩）,She made a clear delivery.,deliver（递送）+y（名词），递送的行为，比如快递配送
fiction,n.,小说；虚构,文学、虚假事物描述，如science fiction（科幻小说）、pure fiction（纯属虚构）,This story is pure fiction.,fiction和fact（事实）相对，虚构的故事就是小说
field,n.,领域；田地,各专业领域或场景，如academic field（学术领域）、field a question（回答问题）,He works in the medical field.,田野是开阔的地方，引申为领域，比如学术领域
fierce,adj.,激烈的；猛烈的,竞争、情感、自然现象描述，如fierce competition（激烈的竞争）、fierce storm（猛烈的暴风雨）,The debate became fierce.,fierce像fire（火），凶猛的像火一样烈，比如激烈的竞争
fight,v./n.,战斗；争取,冲突、抗争描述，如fight for freedom（为自由而战）、fight against（与……作斗争）,He fought bravely.,fight和light（光）换个字母，战斗要像光一样有力量，比如为自由而战
figure,n./v.,数字；人物；认为,数据、人物、观点描述，如statistical figure（统计数字）、public figure（公众人物）,I figure it’ll work.,数字是形态（figure）的量化，也指人物、身材
finance,n./v.,财政；提供资金,经济领域，如international finance（国际金融）、finance a project（为项目提供资金）,The project is financed by the government.,finance和fine（好）相关，财务做好了才好，比如金融领域
financial,adj.,财政的；金融的,同finance，如financial crisis（金融危机）、financial support（财政支持）,They face financial difficulties.,finance（财务）+ial（形容词），财务的，比如金融危机
finding,n.,发现；研究结果,科研、调查领域，如research findings（研究发现）、key finding（关键发现）,The findings were published.,find（发现）+ing（名词），发现的结果，比如研究发现
finite,adj.,有限的,资源、时间等有限性描述，如finite resources（有限的资源）、finite time（有限的时间）,Life is finite.,finite和infinite（无限）相反，有限的资源、时间
firm,adj./n.,坚固的；公司,事物状态、企业描述，如firm belief（坚定的信念）、trading firm（贸易公司）,She has a firm grip on the issue.,firm像farm（农场），农场需要坚固的围栏，也指公司
first,adj./adv./n.,第一的；首先；首次,顺序、首要事物，如first priority（首要任务）、first of all（首先）,She finished first.,第一是顺序的开端，比如首要任务
fit,adj./v.,合适的；健康的；安装,匹配、健康状态描述，如fit for（适合）、keep fit（保持健康）,This dress fits well.,适合就是大小合适，身体好就是健康的，比如合身的衣服
global,adj.,全球的,国际、整体事物描述，如global economy（全球经济）、global warming（全球变暖）,It’s a global concern.,globe（地球）+al（形容词），地球的即全球的，比如全球经济
globe,n.,地球；球体,世界范围描述，如around the globe（世界各地）、the globe（地球）,She traveled around the globe.,地球仪是地球的模型，世界像个球体，即globe
